"BÍńHLER, Hans E.",Switzerland
"NAFSTAD, Ole Sverre",Norway
"HÍńLSENBECK, Sarina",German Democratic Republic
"JANY, Alexandre",France
"BROWN, Leroy Taylor",United States
"MARSH, Michael",United States
"SZIGAT, Andreas",Germany
"DE ROOCKER, Albert",Belgium
"KOWAL, Kristy",United States
"HREBRINOVA, Anna",Czechoslovakia
"DAMILANO, Maurizio",Italy
"DARUHAZI, Laszlone",Hungary
"EGNOT, Leslie Jean",New Zealand
"SCHÍ_NROCK, Sybille",German Democratic Republic
"DOSSEY, Ibrahim",Ghana
"POZNYAK, Daniel",Soviet Union
"MEONI, Marco",Italy
"LAGOUGE, Georges",France
"SPOONER, Lloyd Spencer",United States
"STEINHUBER, Karl",Austria
"SUN, Wen",China
"HUBBLE, Philip",United Kingdom
"PIPER, Carly",United States
"LAL, Kishan",India
"KAISER, Johannes",United States
"TAURASI, Diana",United States
"ZWIERS, Claudia",Netherlands
"MUNZ, Diana",United States
"DRAICA, Ion",Romania
"ZHIRKO, Elena",Unified Team
"ZHU, Qianwei",China
"REICHELT, Rudolf",Germany
"VAN DAMME, Maurice E.",Belgium
"HILL, Denean",United States
"SMITH, Michelle Marie",Ireland
"OELTJEN, Trent",Australia
"VAN REKUM, Marinus Cornelis",Netherlands
"STEDMAN, Ivan",Australia
"SHAW, Arthur",United States
"YOUNG, Tim",United States
"GRIGORESCU, Claudia Laura",Romania
"WIGHT, David Henry",United States
"BERLIN, Per Gunnar",Sweden
"DJAMALOUDINOV, Kamil",Russia
"HARRIGAN, Lori",United States
"BÍńRCHLER-MESSER, Robert",Switzerland
"CHRISTIE, Linford",United Kingdom
"OMELYANOVICH, Viktor",Soviet Union
"DAVENPORT, Lara",Australia
"BOQIEV, Rasul",Tajikistan
"ABDO, Reema",Canada
"THOMAS, Petria",Australia
"KNUBEL, Bernhard",United States
"LEWIN, Jeannette",Netherlands
"JACKSON, Lucius Brown",United States
"FEITH, Constant Willem",Netherlands
"NIAN, Yun",China
"KARLIK, Bohuslav",Czechoslovakia
"MENCHOVA, Tatiana",Unified Team
"HERNANDEZ, Noe",Mexico
"JEANNET, Fabrice",France
"WAHLSTEN, Kauko Wilhelm",Finland
"RANA, Mujahid Ali",Pakistan
"FRENZEL, Henning",United States
"CHASAPIS, Spiridon",Greece
"BEKKEN, Fredrik",Norway
"HOPE, Linton",United Kingdom
"PERSAKIS, Ioannis",Greece
"FISCHER, Carsten",West Germany
"TERESHCHUK, Boris",Soviet Union
"CHACHUA, Akaki",Georgia
"ULEGIN, Sergey",Russia
"PINARELLO, Cesare",Italy
"TEAGARDEN, Taylor",United States
"LAFFITA HERNANDEZ, Andris",Cuba
"MOCEANU, Dominique",United States
"GENTLE, James Cuthbert",United States
"LIGHT, Kevin",Canada
"BIERL, Alois",West Germany
"KURVYAKOVA, Raisa",Soviet Union
"LUNIS, Jacques",France
"HALSWELLE, Wyndham",United Kingdom
"MAC KUNE, William",United Kingdom
"KOLGANOV, Michael",Israel
"HINCH, A.J.",United States
"ERDMAN, Allan",Soviet Union
"ROZYCKI, Jan",Poland
"NENCI, Franco",Italy
"ENRIQUEZ, Michel",Cuba
"SMALLBONE, Frederick John",United Kingdom
"SHMELEV, Vladimir",Soviet Union
"HAASE, Mandy",Germany
